STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1415,ALL_RATE_1415,MAM_COHORT_1415,MAM_RATE_1415,MAS_COHORT_1415,MAS_RATE_1415,MBL_COHORT_1415,MBL_RATE_1415,MHI_COHORT_1415,MHI_RATE_1415,MTR_COHORT_1415,MTR_RATE_1415,MWH_COHORT_1415,MWH_RATE_1415,CWD_COHORT_1415,CWD_RATE_1415,ECD_COHORT_1415,ECD_RATE_1415,LEP_COHORT_1415,LEP_RATE_1415,DATE_CUR
VIRGINIA,51,5101620,GLOUCESTER CO PBLC SCHS,510162000680,GLOUCESTER HIGH,413,91,.,.,3,PS,40,80-89,18,GE80,.,.,337,91,37,50-59,133,80-84,1,PS,26NOV16
VIRGINIA,51,5101650,GOOCHLAND CO PBLC SCHS,510165000686,GOOCHLAND HIGH,189,90-94,.,.,3,PS,36,80-89,7,GE50,.,.,136,90-94,24,60-79,42,70-79,1,PS,26NOV16
VIRGINIA,51,5101690,GRAYSON CO PBLC SCHS,510169000697,GRAYSON COUNTY HIGH,153,80-84,.,.,.,.,2,PS,4,PS,.,.,147,80-84,22,21-39,72,70-74,.,.,26NOV16
VIRGINIA,51,5101710,GREENE CO PBLC SCHS,510171000702,WILLIAM MONROE HIGH,215,93,.,.,5,PS,17,GE80,16,GE80,.,.,166,90-94,16,60-79,58,80-89,5,PS,26NOV16
VIRGINIA,51,5101740,GREENSVILLE CO PBLC SCHS,510174000706,GREENSVILLE COUNTY HIGH,170,80-84,.,.,2,PS,105,80-84,3,PS,.,.,58,80-89,27,21-39,103,80-84,3,PS,26NOV16
VIRGINIA,51,5101770,HALIFAX CO PBLC SCHS,510177001848,HALIFAX COUNTY HIGH,408,78,.,.,1,PS,209,70-74,13,GE50,.,.,182,85-89,57,30-39,224,70-74,4,PS,26NOV16
VIRGINIA,51,5101800,HAMPTON CITY PBLC SCHS,510180000731,BETHEL HIGH,431,81,.,.,8,GE50,270,80-84,15,GE50,.,.,114,75-79,65,45-49,176,75-79,.,.,26NOV16
VIRGINIA,51,5101800,HAMPTON CITY PBLC SCHS,510180000742,HAMPTON HIGH,383,85,.,.,14,GE50,284,85-89,10,GE50,.,.,52,70-79,45,50-59,215,80-84,18,60-79,26NOV16
VIRGINIA,51,5101800,HAMPTON CITY PBLC SCHS,510180000747,KECOUGHTAN HIGH,446,89,.,.,11,GE50,190,85-89,23,GE80,.,.,198,90-94,45,60-69,173,80-84,2,PS,26NOV16
VIRGINIA,51,5101800,HAMPTON CITY PBLC SCHS,510180000755,PHOEBUS HIGH,276,75,.,.,1,PS,207,70-74,8,GE50,.,.,50,70-79,54,40-49,167,75-79,1,PS,26NOV16
