STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1314,ALL_RATE_1314,MAM_COHORT_1314,MAM_RATE_1314,MAS_COHORT_1314,MAS_RATE_1314,MBL_COHORT_1314,MBL_RATE_1314,MHI_COHORT_1314,MHI_RATE_1314,MTR_COHORT_1314,MTR_RATE_1314,MWH_COHORT_1314,MWH_RATE_1314,CWD_COHORT_1314,CWD_RATE_1314,ECD_COHORT_1314,ECD_RATE_1314,LEP_COHORT_1314,LEP_RATE_1314,INSERT_DATE,DATE_CUR
ARIZONA,04,0400656,RSD Charter School  Inc.,040065603223,RSD Computerized Plus Online Program,19,21-39,.,.,1,PS,1,PS,4,PS,.,.,13,LT50,3,PS,11,LT50,.,.,30AUG15,29AUG15
ARIZONA,04,0400680,Amphitheater Unified District,040068000030,Rillito Center,8,LT50,.,.,.,.,1,PS,5,PS,.,.,2,PS,8,LT50,4,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0400680,Amphitheater Unified District,040068000032,Amphitheater High School,256,62,5,PS,17,40-59,19,40-59,165,65-69,.,.,49,50-59,51,50-59,190,60-64,23,LE20,30AUG15,29AUG15
ARIZONA,04,0400680,Amphitheater Unified District,040068000033,Canyon Del Oro High School,386,83,5,PS,15,GE50,10,GE50,94,80-84,.,.,254,85-89,35,80-89,81,70-74,2,PS,30AUG15,29AUG15
ARIZONA,04,0400680,Amphitheater Unified District,040068002198,Ironwood Ridge High School,466,89,5,PS,16,GE80,10,GE50,95,85-89,.,.,336,90,44,80-89,57,70-79,.,.,30AUG15,29AUG15
ARIZONA,04,0400680,Amphitheater Unified District,040068003330,Amphi Academy at El Hogar,9,LT50,.,.,.,.,.,.,3,PS,.,.,5,PS,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400720,Antelope Union High School District,040072000034,Antelope Union High School,84,70-74,.,.,1,PS,1,PS,54,60-69,.,.,27,GE80,16,40-59,64,65-69,.,.,30AUG15,29AUG15
ARIZONA,04,0400745,Legacy Traditional Charter School - Maricopa,040074502856,Legacy Traditional School - Maricopa,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400747,Scottsdale Preparatory Academy,040074702795,Great Hearts Academies - Scottsdale Prep,51,GE90,.,.,3,PS,.,.,4,PS,.,.,44,GE90,.,.,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0400757,Mesa Preparatory Academy  Inc.,040075702820,Great Hearts Academies - Mesa Prep,31,GE90,.,.,1,PS,.,.,4,PS,.,.,26,GE80,1,PS,.,.,.,.,30AUG15,29AUG15
